;Evaluation
1480;1376.5057
1481;1560.9384
1482;1673.3481
1483;1465.1156
1484;1303.2648
1485;1067.2594
1486;1305.3654
1487;1175.7258
1488;1176.6705
1489;1811.1759
1490;1682.7192
1491;1571.4667
1492;1241.5675
1493;1815.5117
1494;1574.3730
1495;1390.0836
1496;1075.0980
1497;1479.1894
1498;947.6336
1499;3385.2581
1500;1078.0757
1501;1396.0938
1502;848.5914
1503;1034.0144
1504;1133.4360
1505;1488.5709
1506;1833.0076
1507;1490.2516
1508;2168.5441
1509;1591.1939
1510;1492.6792
1511;1327.7123
1512;1707.9830
1513;2174.7021
1514;3418.2386
1515;1496.4135
1516;1711.1100
1517;1843.6504
1518;1498.8993
1519;1142.9670
1520;1334.4001
1521;1001.7531
1522;2004.4051
1523;1415.8138
1524;1505.2339
1525;1721.1925
1526;1148.4092
1527;2193.3162
1528;1609.3609
1529;1207.9683
1530;2416.8172
1531;1422.5940
1532;1273.7899
1533;781.6762
1534;1102.4060
1535;2021.9811
1536;2427.2746
1537;759.4885
1538;1216.1282
1539;1622.3632
1540;1623.2916
1541;2030.0275
1542;1523.4538
1543;1283.8537
1544;1061.5277
1545;977.5561
1546;1222.8915
1547;1223.8327
1548;2226.0379
1549;1289.7012
1550;1885.8659
1551;1635.3445
1552;1363.7114
1553;1364.6523
1554;1024.4444
1555;1640.0416
1556;1893.2737
1557;1172.9772
1558;1643.0787
1559;1370.1187
1560;1897.9329
1561;1542.9941
1562;1176.5620
1563;1545.1105
1564;1237.0272
1565;1547.2151
1566;2251.3780
1567;991.5595
1568;1907.7276
1569;1306.2309
1570;1307.1738
1571;1380.7356
1572;1554.2620
1573;2261.6465
1574;1244.8523
1575;1311.3153
1576;1084.2135
1577;2078.9888
1578;1919.9804
1579;1469.1515
1580;1315.4474
1581;893.5861
1582;1390.9641
1583;895.1176
1584;1671.8106
1585;2508.6076
1586;1568.8145
1587;1793.8520
1588;1047.3668
1589;1143.5257
1590;3145.5637
1591;1481.1805
1592;1326.2112
1593;1260.7993
1594;1201.6962
1595;1098.1518
1596;1486.6723
1597;903.5504
1598;3163.2985
1599;873.5983
1600;1689.8781
1601;1585.1950
1602;1691.8015
1603;1692.7231
1604;1494.4994
1605;2823.8273
1606;2311.3083
1607;1339.0637
1608;3181.1476
1609;3636.4362
1610;1415.1114
1611;1592.9276
1612;2317.8864
1613;1962.2075
1614;1110.0287
1615;1502.6787
1616;1825.6051
1617;2840.6042
1618;1279.2163
1619;1163.8767
1620;1220.2472
1621;1165.7292
1622;1026.7798
1623;1975.4962
1624;1713.0261
1625;1713.9468
1626;1978.5401
1627;3215.9813
1628;1514.3365
1629;1171.0766
1630;1841.1808
1631;1983.7231
1632;1433.6307
1633;922.5772
1634;1231.0531
1635;1124.9561
1636;2353.0826
1637;2157.8999
1638;1727.2417
1639;1234.6444
1640;1365.5468
1641;2163.0222
1642;1731.3452
1643;1083.0482
1644;1300.5996
1645;1626.6796
1646;1531.9315
1647;2368.4370
1648;1303.5861
1649;1739.0430
1650;1864.1142
1651;1088.3387
1652;1188.2302
1653;1743.6685
1654;1453.9959
1655;1378.4135
1656;1871.6265
1657;1456.6516
1658;1140.9370
1659;2187.7060
1660;1459.3543
1661;973.8518
1662;2023.5179
1663;1385.4527
1664;1254.4478
1665;1318.1160
1666;2197.6908
1667;1552.2456
1668;1760.0766
1669;1553.9472
1670;1321.8012
1671;1392.3123
1672;1654.3013
1673;2206.6436
1674;1892.2628
1675;1152.7674
1676;1768.5072
1677;1658.9101
1678;1021.8250
1679;1898.5935
1680;1662.2002
1681;1900.5791
1682;951.2511
1683;2220.4929
1684;784.6712
1685;1668.3536
1686;1669.2868
1687;2055.4281
1688;1572.7073
1689;2431.4499
1690;1408.6277
1691;1487.8276
1692;1072.1830
1693;1915.5374
1694;1277.9743
1695;2065.2643
1696;1918.6632
1697;2067.0963
1698;2443.8350
1699;1345.0555
1700;1121.7843
1701;2448.4344
1702;1924.6966
