;Evaluation
1714;1889.5936
1715;2457.3619
1716;2731.2721
1717;1756.7418
1718;1230.6636
1719;2052.0215
1720;1296.9541
1721;1450.4766
1722;2055.7538
1723;2056.6669
1724;2057.5794
1725;2744.3258
1726;1373.1023
1727;1374.0459
1728;2249.3456
1729;3093.7227
1730;3094.5946
1731;2251.5075
1732;1376.8641
1733;1458.7951
1734;1240.9126
1735;1655.4808
1736;1552.9480
1737;1657.4089
1738;1554.7569
1739;1464.2408
1740;1383.8277
1741;1916.9850
1742;1558.4796
1743;1782.0454
1744;1782.9674
1745;2774.3743
1746;2081.6859
1747;1922.4734
1748;1471.0658
1749;4168.8418
1750;2274.8183
1751;1138.3622
1752;1789.7748
1753;2506.5809
1754;2089.7324
1755;2787.1945
1756;1321.1949
1757;1477.5669
1758;3140.6997
1759;2094.7144
1760;931.9454
1761;1325.2376
1762;2099.2064
1763;1482.7302
1764;1801.3832
1765;1484.4273
1766;1202.6296
1767;1579.3858
1768;1805.9367
1769;1204.9049
1770;2109.4945
1771;1688.5261
1772;2533.6843
1773;2112.3181
1774;2305.2541
1775;1691.4493
1776;1692.3783
1777;1587.5400
1778;1105.3306
1779;2312.0479
1780;1696.4320
1781;1591.3386
